file,w,h,bbox_area_ratio,ink_coverage_ratio,margin_left,margin_right,margin_top,margin_bottom
01-chuong-1-gioi-thieu-hinh-1-1.png,13075,1177,1.0,0.6714,0.0,0.0,0.0,0.0
01-chuong-1-gioi-thieu-hinh-1-2.png,829,4200,1.0,0.0209,0.0,0.0,0.0,0.0
01-chuong-1-gioi-thieu-hinh-1-3.png,3792,5755,1.0,0.48,0.0,0.0,0.0,0.0
01-chuong-1-gioi-thieu-hinh-1-4.png,4715,1206,0.9635,0.015,0.0,0.0,0.0191,0.0174
01-chuong-1-gioi-thieu-hinh-1-5.png,1081,2966,1.0,0.0192,0.0,0.0,0.0,0.0
02-chuong-2-phan-tich-hinh-2-1.png,5300,2534,1.0,0.0089,0.0,0.0,0.0,0.0
03-chuong-3-giai-phap-phan-cung-hinh-3-1.png,12290,3379,1.0,0.4868,0.0,0.0,0.0,0.0
03-chuong-3-giai-phap-phan-cung-hinh-3-2.png,2034,1956,1.0,0.0377,0.0,0.0,0.0,0.0
03-chuong-3-giai-phap-phan-cung-hinh-3-3.png,5557,5130,1.0,0.483,0.0,0.0,0.0,0.0
03-chuong-3-giai-phap-phan-cung-hinh-3-4.png,20820,3566,1.0,0.2765,0.0,0.0,0.0,0.0
04-chuong-3-giai-phap-firmware-hinh-3-10.png,6639,2397,1.0,0.0111,0.0,0.0,0.0,0.0
04-chuong-3-giai-phap-firmware-hinh-3-11.png,1248,4347,0.9912,0.0143,0.0088,0.0,0.0,0.0
04-chuong-3-giai-phap-firmware-hinh-3-5.png,1152,5222,1.0,0.0117,0.0,0.0,0.0,0.0
04-chuong-3-giai-phap-firmware-hinh-3-6.png,8093,2817,1.0,0.0058,0.0,0.0,0.0,0.0
04-chuong-3-giai-phap-firmware-hinh-3-7.png,5981,1762,1.0,0.0096,0.0,0.0,0.0,0.0
04-chuong-3-giai-phap-firmware-hinh-3-8.png,3253,3213,1.0,0.0286,0.0,0.0,0.0,0.0
04-chuong-3-giai-phap-firmware-hinh-3-9.png,2034,2853,1.0,0.0372,0.0,0.0,0.0,0.0
05-chuong-3-giai-phap-backend-hinh-3-12.png,4205,5934,1.0,0.0044,0.0,0.0,0.0,0.0
05-chuong-3-giai-phap-backend-hinh-3-13.png,5338,3267,1.0,0.5009,0.0,0.0,0.0,0.0
05-chuong-3-giai-phap-backend-hinh-3-14.png,2021,3004,1.0,0.0311,0.0,0.0,0.0,0.0
05-chuong-3-giai-phap-backend-hinh-3-14a.png,6697,2452,1.0,0.0199,0.0,0.0,0.0,0.0
